number,texture groups that occur together
1,"Channery clay loam, Gravelly loam, Silt loam"
2,"Channery fine sandy loam, Cobbly sandy loam, Very fine sandy loam"
3,"Channery fine sandy loam, Fine sandy loam, Loam, Silt loam"
4,"Channery loam, Channery silt loam, Channery very fine sandy loam, Silt loam, Very channery silt loam"
5,"Channery loam, Channery silt loam, Loam"
6,"Channery loam, Channery silt loam, Silt loam"
7,"Channery loam, Channery silt loam, Silt loam, Very channery silt loam"
8,"Channery loam, Channery silt loam, Very channery loam"
9,"Channery loam, Channery silty clay loam, Extremely channery silt loam"
10,"Channery loam, Channery silty clay loam, Very channery silt loam"
11,"Channery loam, Extremely channery loam, Fine sandy loam, Sandy loam, Very channery loam, Very fine sandy loam"
12,"Channery loam, Extremely channery loam, Fine sandy loam, Sandy loam, Very fine sandy loam"
13,"Channery loam, Fine sandy loam, Loam, Sandy loam, Very fine sandy loam"
14,"Channery loam, Fine sandy loam, Sandy loam, Very fine sandy loam"
15,"Channery loam, Gravelly silt loam, Parachannery silt loam, Silt loam"
16,"Channery loam, Gravelly silt loam, Silt loam"
17,"Channery loam, Loam, Silt loam"
18,"Channery loam, Parachannery silt loam, Silt loam"
19,"Channery sandy loam, Sandy loam, Silt loam"
20,"Channery silt loam, Channery very fine sandy loam, Extremely channery silt loam, Gravelly sandy loam, Very channery silt loam"
21,"Channery silt loam, Cobbly silt loam, Loam"
22,"Channery silt loam, Extremely channery loam, Very channery loam"
23,"Channery silt loam, Extremely channery silt loam, Very channery loam, Very channery silt loam"
24,"Channery silt loam, Extremely gravelly fine sandy loam, Gravelly sandy loam, Gravelly very fine sandy loam, Very gravelly loam"
25,"Channery silt loam, Fine sandy loam, Loam, Silt loam"
26,"Channery silt loam, Gravelly fine sandy loam, Loam"
27,"Channery silt loam, Gravelly fine sandy loam, Loam, Sandy loam"
28,"Channery silt loam, Gravelly loam, Loam"
29,"Channery silt loam, Gravelly loam, Silt loam"
30,"Channery silt loam, Gravelly loam, Silt loam, Very channery silt loam"
31,"Channery silt loam, Gravelly loam, Very channery loam"
32,"Channery silt loam, Gravelly loam, Very channery sandy loam, Very channery very fine sandy loam"
33,"Channery silt loam, Gravelly loam, Very channery silt loam"
34,"Channery silt loam, Gravelly loam, Very fine sandy loam, Very gravelly loam"
35,"Channery silt loam, Gravelly silt loam, Gravelly very fine sandy loam"
36,"Channery silt loam, Gravelly silt loam, Loam"
37,"Channery silt loam, Loam, Parachannery silt loam"
38,"Channery silt loam, Loam, Silt loam"
39,"Channery silt loam, Loam, Silt loam, Very channery silt loam"
40,"Channery silt loam, Parachannery loam, Silt loam, Very parachannery loam"
41,"Channery silt loam, Silt loam"
42,"Channery silt loam, Silt loam, Very channery coarse sand"
43,"Channery silt loam, Silt loam, Very gravelly loam"
44,"Channery silt loam, Very channery loam, Very channery silt loam"
45,"Channery silt loam, Very channery silt loam"
46,"Channery very fine sandy loam, Fine sandy loam, Loam, Silt loam"
47,"Clay loam, Gravelly clay loam, Gravelly loam, Silt loam"
48,"Clay loam, Gravelly loam, Silt loam"
49,"Clay loam, Silt loam, Silty clay loam"
50,"Clay, Clay loam, Silty clay"
51,"Clay, Clay loam, Silty clay loam"
52,"Clay, Silt loam, Silty clay"
53,"Clay, Silt loam, Silty clay loam"
54,"Clay, Silty clay"
55,"Clay, Silty clay, Silty clay loam"
56,"Coarse sand, Cobbly coarse sand, Extremely cobbly coarse sand, Fine sand, Gravelly coarse sand, Sand, Very cobbly coarse sand, Very gravelly coarse sand"
57,"Coarse sand, Fine sand, Fine sandy loam, Loamy fine sand, Loamy sand, Mucky coarse sand, Mucky fine sand, Mucky fine sandy loam, Mucky loamy fine sand, Mucky loamy sand, Mucky sand, Mucky sandy loam, Sand, Sandy loam"
58,"Coarse sand, Fine sand, Gravelly coarse sand, Loamy fine sand, Loamy sand, Mucky coarse sand, Mucky fine sand, Mucky loamy fine sand, Mucky loamy sand, Mucky sand, Sand"
59,"Coarse sand, Fine sand, Gravelly coarse sand, Loamy fine sand, Loamy sand, Sand"
60,"Coarse sand, Fine sand, Gravelly fine sand"
61,"Coarse sand, Fine sand, Gravelly sand"
62,"Coarse sand, Fine sand, Gravelly sand, Loamy fine sand, Loamy sand, Sand, Stratified gravelly sand to sand"
63,"Coarse sand, Fine sand, Gravelly sand, Loamy sand, Sand"
64,"Coarse sand, Fine sand, Gravelly sand, Sand"
65,"Coarse sand, Fine sand, Loamy coarse sand, Loamy fine sand, Loamy sand, Sand"
66,"Coarse sand, Fine sand, Loamy fine sand"
67,"Coarse sand, Fine sand, Loamy fine sand, Loamy sand, Mucky coarse sand, Mucky fine sand, Mucky loamy fine sand, Mucky loamy sand, Mucky sand, Sand"
68,"Coarse sand, Fine sand, Loamy fine sand, Loamy sand, Sand"
69,"Coarse sand, Fine sand, Loamy sand"
70,"Coarse sand, Fine sand, Mucky coarse sand, Mucky fine sand, Mucky sand, Sand"
71,"Coarse sand, Fine sand, Sand"
72,"Coarse sand, Gravelly sand, Loamy fine sand, Loamy sand"
73,"Coarse sand, Gravelly sand, Loamy sand, Very gravelly sand"
74,"Coarse sand, Gravelly sandy loam, Loamy sand, Very gravelly coarse sand, Very gravelly loamy sand"
75,"Coarse sand, Loamy coarse sand, Loamy sand"
76,"Coarse sand, Loamy fine sand, Loamy sand"
77,"Coarse sand, Loamy fine sand, Sand"
78,"Coarse sand, Loamy sand, Sand"
79,"Coarse sandy loam, Cobbly loamy coarse sand, Fine sandy loam, Gravelly loamy sand, Loamy coarse sand, Loamy fine sand, Loamy sand, Sand, Sandy loam, Very gravelly sandy loam"
80,"Coarse sandy loam, Extremely gravelly loamy coarse sand, Fine sandy loam, Sandy loam"
81,"Coarse sandy loam, Fine sandy loam, Gravelly coarse sandy loam, Gravelly fine sandy loam, Gravelly sandy loam, Gravelly very fine sandy loam, Sandy loam, Very fine sandy loam"
82,"Coarse sandy loam, Fine sandy loam, Gravelly fine sandy loam, Loam"
83,"Coarse sandy loam, Fine sandy loam, Gravelly loamy sand, Loamy coarse sand, Loamy fine sand, Loamy sand, Sandy loam, Very fine sandy loam, Very gravelly sandy loam"
84,"Coarse sandy loam, Fine sandy loam, Loamy fine sand, Very fine sandy loam"
85,"Coarse sandy loam, Fine sandy loam, Sandy loam"
86,"Coarse sandy loam, Gravelly fine sandy loam, Loam"
87,"Cobbly coarse sand, Gravelly loamy fine sand, Gravelly loamy sand"
88,"Cobbly coarse sand, Gravelly loamy fine sand, Gravelly sand"
89,"Cobbly coarse sand, Gravelly loamy fine sand, Very gravelly loamy sand"
90,"Cobbly coarse sand, Gravelly loamy sand, Very gravelly sand"
91,"Cobbly coarse sand, Gravelly sand, Loamy fine sand, Sand, Stratified sand to loamy fine sand, Very gravelly coarse sand, Very gravelly sand"
92,"Cobbly fine sandy loam, Fine sandy loam, Gravelly fine sandy loam, Loam, Sandy loam, Very fine sandy loam"
93,"Cobbly fine sandy loam, Fine sandy loam, Loam, Sandy loam"
94,"Cobbly fine sandy loam, Gravelly fine sandy loam, Highly organic fine sandy loam, Loam, Sandy loam, Very fine sandy loam"
95,"Cobbly fine sandy loam, Gravelly loamy sand, Sandy loam"
96,"Cobbly fine sandy loam, Gravelly sandy loam, Silt loam"
97,"Cobbly loam, Fine sandy loam, Gravelly fine sandy loam"
98,"Cobbly loam, Gravelly silt loam, Silt loam"
